129 223522.700000 48 Results/pf_bomctop_2_96_2.dat_129.out
137 225668.200000 48 Results/pf_bomctop_2_96_2.dat_137.out
2356 222647.700000 48 Results/pf_bomctop_2_96_2.dat_2356.out
402 219458.700000 48 Results/pf_bomctop_2_96_2.dat_402.out
195 246529.700000 48 Results/pf_bomctop_2_96_2.dat_195.out
6666 212611.700000 48 Results/pf_bomctop_2_96_2.dat_6666.out
429 231432.200000 48 Results/pf_bomctop_2_96_2.dat_429.out
762 251460.200000 48 Results/pf_bomctop_2_96_2.dat_762.out
887 200541.200000 48 Results/pf_bomctop_2_96_2.dat_887.out
843 236836.200000 48 Results/pf_bomctop_2_96_2.dat_843.out
999 223605.700000 48 Results/pf_bomctop_2_96_2.dat_999.out
7896 243354.200000 48 Results/pf_bomctop_2_96_2.dat_7896.out
332 248604.700000 48 Results/pf_bomctop_2_96_2.dat_332.out
34966 228341.700000 48 Results/pf_bomctop_2_96_2.dat_34966.out
287 252799.700000 48 Results/pf_bomctop_2_96_2.dat_287.out
2226 245013.700000 48 Results/pf_bomctop_2_96_2.dat_2226.out
4636 240764.200000 48 Results/pf_bomctop_2_96_2.dat_4636.out
555 222631.200000 48 Results/pf_bomctop_2_96_2.dat_555.out
58016 244128.700000 48 Results/pf_bomctop_2_96_2.dat_58016.out
57396 233600.700000 48 Results/pf_bomctop_2_96_2.dat_57396.out
144160.200000 259625.700000 232677.65
